sentence,intents
what doe yolo mean,definition
can you tell me the meaning of fluctuate,definition
what doe the word polynomial mean,definition
what doe ferrari mean,definition
what is the meaning of the word girn,definition
what doe mature mean,definition
id like to know what bitcoin mean,definition
i heard some woman say she wa going to yerd me whats that mean,definition
can you tell me what obsolescence mean,definition
please explain the word catastrophic to me,definition
whats the meaning of naff,definition
can you tell me what dendrofilous mean,definition
what doe peertopeer actually mean,definition
define epicurean,definition
what doe epicurean mean,definition
would you let me know what the meaning is life is,meaning_of_life
would you let me know what is the point of life,meaning_of_life
right now i need to know the meaning of life,meaning_of_life
define the meaning of life for me,meaning_of_life
i want to know the meaning of life,meaning_of_life
would you explain the meaning of life,meaning_of_life
i need you to tell me the meaning of life,meaning_of_life
i need to know what the meaning of life is now,meaning_of_life
tell me what the meaning of life is,meaning_of_life
i need to know what the point of life is,meaning_of_life
let me know what the point of life is,meaning_of_life
would you provide me with what the point of life is,meaning_of_life
tell me what the point of life is,meaning_of_life
what is the reason human even exist,meaning_of_life
do you think our life have purpose or meaning,meaning_of_life
can you tell me about the meaning of life,meaning_of_life
can you tell me what the meaning of life is,meaning_of_life
what do you know about the meaning of life,meaning_of_life
i would like information on the meaning of life,meaning_of_life
what information can you give me on the meaning of life,meaning_of_life
what is the core meaning of life,meaning_of_life
what do you know about life meaning,meaning_of_life
is there any consensun regarding life true meaning,meaning_of_life
is there a reason beyond biology about why human are alive,meaning_of_life
do you think being alive ha any meaning,meaning_of_life
is there meaning to life,meaning_of_life
is there meaning in life,meaning_of_life
what is the answer to life,meaning_of_life
whats the answer to it all,meaning_of_life
whats life mean to you,meaning_of_life
i would like to change my insurance policy,insurance_change
can i edit my insurance policy,insurance_change
i am interested in a new insurance plan,insurance_change
i really would like to get a new insurance plan,insurance_change
i am in the market for a new insurance plan,insurance_change
is there a way to alter my insurance policy,insurance_change
how can i change to new insurance plan,insurance_change
help me find a new insurance plan,insurance_change
can i update my insurance policy,insurance_change
who do i contact about updating my insurance,insurance_change
can you help me change my insurance policy,insurance_change
i need to change my insurance policy do you know how,insurance_change
what are the step to change my insurance policy,insurance_change
do you know how i can change my insurance policy,insurance_change
how to i change the policy on my insurace,insurance_change
what do i need to do to get new insurance,insurance_change
do you know how i get new insurance,insurance_change
what is the protocol for getting new insurance,insurance_change
let me know the process for new insurance,insurance_change
i want to sign up for a new allstate insurance plan,insurance_change
i need to sign up for a new allstate plan,insurance_change
what is the procedure for signing up for a new allstate plan,insurance_change
how do i sign up for a new allstatedplan,insurance_change
i want to change to a new allstate insurance plan,insurance_change
i want a new insurance plan,insurance_change
what if i want to switch insurance plan,insurance_change
is there a way to get a new insurance plan,insurance_change
i want to switch to a new insurance plan,insurance_change
how do i switch insurance plan,insurance_change
phone number to state farm to change insurance,insurance_change
can you help me find my phone please,find_phone
could you help me locate my phone,find_phone
can you help me locate my phone,find_phone
could you help me locate my phone please,find_phone
can you help me locate my phone please,find_phone
i cannot locate my phone can you help me,find_phone
i need help locating my phone,find_phone
can you assist me with finding my phone,find_phone
i lost my phone can you help me,find_phone
where the bleep did i put my bleeping phone,find_phone
is my phone somewhere around here,find_phone
help ive lost my cellphone,find_phone
i seem to have lost my phone,find_phone
do you know my phone location,find_phone
can you find my phone,find_phone
wheres my phone at,find_phone
whats my phone location,find_phone
can you help me hunt for my missing cellphone,find_phone
locate my cellphone in this room,find_phone
where did i last put my phone,find_phone
find my cellphone for me,find_phone
where did i place my phone,find_phone
wheres my phone,find_phone
my phone isnt where i left it,find_phone
i think ive misplaced my phone,find_phone
ive lost my phone somewhere,find_phone
i think i lost my phone,find_phone
would you know where to find my phone,find_phone
please assist me in looking for my phone,find_phone
look for my phone with me,find_phone
is there a travel alert in spain,travel_alert
travel alert in cuba,travel_alert
alert for travel in colombia,travel_alert
are there travel alert in mexico,travel_alert
mexico travel alert,travel_alert
have there been any travel alert for the u,travel_alert
are there any travel advisory for the u,travel_alert
what are the travel alert for the u,travel_alert
are there travel alert for the u,travel_alert
what travel alert are in effect for the u,travel_alert
i want to know if i will be safe if i travel to europe,travel_alert
would i be safe if i traveled to japan,travel_alert
is it safe to go to north korea,travel_alert
will i be safe going to south america,travel_alert
am i safe to go to africa,travel_alert
which country have travel alert,travel_alert
is it safe in italy,travel_alert
what are the travel condition for haiti,travel_alert
are there any travel bulletin about haiti,travel_alert
note any travel alert for haiti,travel_alert
find travel alert for haiti,travel_alert
doe the state department say anything about traveling to haiti,travel_alert
is there a travel alert for france,travel_alert
is it safe for me to go to turkey,travel_alert
is it safe to go to serbia,travel_alert
safety concern for malaysia,travel_alert
is it safe for me to visit malawi,travel_alert
is travel to monterrey safe now,travel_alert
is it safe for people to travel to pakistan,travel_alert
can people safely travel to cambodia,travel_alert
please help me set up a vacation request,pto_request
how doe one go about putting in a vacation request,pto_request
how do i put in a vacation request,pto_request
walk me through on how to make a vacation request,pto_request
please put in a vacation request,pto_request
how is a vacation request done,pto_request
how is a vacation request made,pto_request
what is the process of making a vacation request,pto_request
how would one make a vacation request,pto_request
can i put in a pto request for september 1st to september 8th,pto_request
if i want to make a vacation request how do i do it,pto_request
can i put in a pto request for august 1st to august 10th,pto_request
can i put in a pto request for january 4th to january 9th,pto_request
can i put in a pto request for december 3rd to december 10th,pto_request
can i put in a pto request for december 25th to january 1st,pto_request
can i take pto from the end of the month to the 5th of the next month,pto_request
can you help me plan a vacation,pto_request
it it possible to take pto from the 8th to the 11th,pto_request
is it ok if i use some of my pto on may 24th to may 29th,pto_request
what do i do to set up a vacation,pto_request
i need to use pto on october 5th to october 10th,pto_request
how do i plan a vacation,pto_request
can i put in a pto request for monday to wednesday,pto_request
can i purchase a vacation using this,pto_request
how do i get help with a vacation itinerary,pto_request
how do i request a vacation,pto_request
id like to request a vacation,pto_request
i need to request a vacation,pto_request
vacation request information,pto_request
vacation request please,pto_request
how can i increase my credit score,improve_credit_score
how can i raise my credit score,improve_credit_score
how can i contribute to my credit score,improve_credit_score
how is it possible to get a better credit score,improve_credit_score
how can i up my credit score,improve_credit_score
can you explain to me how i might boost my credit score,improve_credit_score
my credit score stink but i dont know how to improve it,improve_credit_score
what preventative measure can i take to avoid a low credit score,improve_credit_score
how can i keep my credit score from falling,improve_credit_score
give me some idea for boosting my credit score,improve_credit_score
how can i prevent my credit score from dropping,improve_credit_score
what step can i take to build my credit score,improve_credit_score
give me some tip on building up my credit score,improve_credit_score
how can i rehabilitate my poor credit score,improve_credit_score
give me some idea of how to avoid my credit score lowering,improve_credit_score
give me tip on improving my credit score,improve_credit_score
what step should i take if i want to ensure my credit score doesnt drop,improve_credit_score
can you tell me some strategy for raising my credit score,improve_credit_score
i want to know how i can build up a good credit score,improve_credit_score
whats the method to improve credit score,improve_credit_score
which is the best way to improve the credit score,improve_credit_score
which could be improve the credit score,improve_credit_score
when the credit score improve,improve_credit_score
where is improve the credit score,improve_credit_score
it is damaging to my credit score if i miss one credit card payment,improve_credit_score
i have a revolving store card and defaulted so will my fico score be affected,improve_credit_score
will my fico score decrease if i increase my student loan debt,improve_credit_score
if i lose my job will my credit score go down,improve_credit_score
can i hurt my credit rating if i open several credit card in a short time frame,improve_credit_score
will only having five late payment really make my credit bad,improve_credit_score
name unusual fact about the circus,fun_fact
i need interesting baseball trivia from the nineteen eighty,fun_fact
tell me a fun fact about car,fun_fact
give me a fun fact about kangaroo,fun_fact
give me a fun fact about koala,fun_fact
give me a fun fact about dolphin,fun_fact
what is some trivia about frog,fun_fact
tell me fun fact of today,fun_fact
give me something interesting about star,fun_fact
what is some trivia question about coffee,fun_fact
tell me some trivia about sweat,fun_fact
tell me some trivia about dolphin,fun_fact
what is some trivia about the weather,fun_fact
give me a fun fact about komodo dragon,fun_fact
give me a amusing fact about wolf,fun_fact
what is the interesting trivia about human body,fun_fact
i want to learn something about apple,fun_fact
tell me today fun fact,fun_fact
i want today fun fact please,fun_fact
what is today fun fact,fun_fact
today fun fact,fun_fact
i want a fun fact about london,fun_fact
tell me something interesting about bee,fun_fact
i would you like to learn something interesting about bee,fun_fact
i want to hear cool bee fact,fun_fact
whats something interesting about bee,fun_fact
i wanna hear something cool about bee,fun_fact
tell me fun fact on science topic,fun_fact
tell me fun science fact,fun_fact
i want to know fun fact about koala bear,fun_fact
please speak in tagalog,change_language
speak in german,change_language
speak to me in dutch,change_language
speak in french please,change_language
speak spanish please,change_language
i am not understanding the language you are responding in switch it for me,change_language
i cant understand the language you are responding in i need you to switch it,change_language
i need you to switch the language you are responding a i dont understand,change_language
i dont understand your language switch the language,change_language
i need you to switch the language you are responding in,change_language
id like to speak in portuguese,change_language
can we speak in german,change_language
i want to use spanish with you,change_language
please let speak in spanish,change_language
please can we speak in dutch,change_language
can you make the default language swedish,change_language
is it possible to talk to you in mandarin,change_language
would you understand me if i speak to you in navajo,change_language
id like the language to be in spanish,change_language
id like to use you using russian,change_language
can i speak spanish to you hombre,change_language
i want to start talking to you in swedish,change_language
can i get you to change your language setting to russian,change_language
please make your language setting norwegian,change_language
i am going to speak english now,change_language
do you speak english,change_language
i want to talk english,change_language
we have to speak in english,change_language
speak in dutch,change_language
i want to speak to you in swiss german,change_language
how long until my paycheck show up,payday
can you tell me the date of my last check,payday
what wa the date when i last go paid,payday
whats the date on my last pay stub,payday
when can i expect my paycheck,payday
when is the next time ill receive a paycheck,payday
when did i last collect my salary,payday
when do i next get paid,payday
when is my paycheck arriving,payday
what day is payday,payday
do you know when my next check is coming,payday
when do i get my next paycheck,payday
whens pay day for me,payday
i need to know when i get paid next,payday
whens my next pay day,payday
what day my pay coming next,payday
when do i get paid for my work,payday
look up when my payday is supposed to be,payday
when can i expect to be paid,payday
look up the date for my next payday,payday
what day will i earn my payment from work,payday
find out when my next upcoming payday will be,payday
when is the next payday i can look forward to,payday
what day can i expect to receive payment on,payday
when will my next paycheck be coming,payday
when will my payment be deposited,payday
when do i get my next pay check,payday
is it payday,payday
do you know when ill receive my next paycheck,payday
what date do i get paid,payday
how long doe it take for a credit card to be reissued and mailed to me,replacement_card_duration
can credit card company expedite delivery of reissued credit card,replacement_card_duration
can you call the help desk line for my credit card company,replacement_card_duration
how can i request a new credit card,replacement_card_duration
whats the phone number for my credit card company,replacement_card_duration
i recently lost my credit card and need to know how long it take to get a new one mailed to me,replacement_card_duration
i need to know the time it take to get a new credit card sent to someone who lost theirs,replacement_card_duration
i lost my credit card recently how long doe take to get a new one in the mail,replacement_card_duration
what is amount of time it take to get a new credit card i lost mine recently,replacement_card_duration
what is the time frame for sending a customer who lost their credit card a new one,replacement_card_duration
will i get getting my new card anytime soon,replacement_card_duration
what is the shipping status of my replacement card,replacement_card_duration
how long until i get my replacement card,replacement_card_duration
when is my new card expected to arrive,replacement_card_duration
is my replacement card due to arrive in the mail today,replacement_card_duration
how long before my new card is mailed to me,replacement_card_duration
what is the shipping time for my card,replacement_card_duration
how much time before my new card is mailed to me,replacement_card_duration
how long doe it take to get a new credit card,replacement_card_duration
time to order and receive a new credit card,replacement_card_duration
when will i received a replacement card,replacement_card_duration
time to replace my credit card,replacement_card_duration
how long before the replacement card is mailed to me,replacement_card_duration
how much longer before the card is mailed to me,replacement_card_duration
how long will it take to get a new credit card,replacement_card_duration
what is the shipping wait for my card,replacement_card_duration
when will the replaecment card arrive,replacement_card_duration
let me know the wait on a replacement credit card,replacement_card_duration
let me know when the replacement card will arrive,replacement_card_duration
how soon can i expect a replacement card for my lost card to arrive,replacement_card_duration
i need you to tell me what time it is in new york now,time
what time is it in adelaide australia right now,time
is it after noon,time
is it six o clock yet,time
please give me the time in tanzania at this moment,time
can you tell me the current time in jamaica,time
tell me the time in san francisco please,time
what time is it right now in adelaide australia,time
what time is it in the eastern timezone,time
what time is it in the mountain timezone,time
what time is it in the greenwich timezone,time
what time is it in the central timezone,time
tell me what the time is in dallas,time
what is the current time in dallas,time
can you tell me what time it is in dallas,time
what time is it in dallas,time
tell time for another city dallas,time
what time is it right now at home,time
whats the time in new york,time
tell me the time in california,time
tell me the time in la vega,time
what is the time is central time zone,time
what is the time in the usa,time
what is the time in est,time
whats the exact time,time
what is the current time,time
whats the current time,time
what time is it in california,time
please give me the time,time
the time is what,time
how is the status of my credit card application coming along,application_status
what exactly is the status of my application for the credit card,application_status
i need to know the status of my credit card application,application_status
i would like to know the status of my credit card application,application_status
let me know if my application for american saving bank,application_status
check the status of my credit card application for me,application_status
i want to know if my credit card application ha been processed,application_status
i want to know the status of my credit card application,application_status
can you check if my credit card application ha been processed,application_status
i want to know how is my credit card application going,application_status
can you let me know the status of my discover credit card application status,application_status
can you tell me the status of my credit card application,application_status
ha my application for american express gone through yet,application_status
let me know about the status of my credit card application,application_status
can you please tell me about the status of my credit card application,application_status
can you please let me know the status of my capital one application,application_status
let me know the credit card application status,application_status
ha my application for discover card gone through yet,application_status
can you tell me the credit card application status,application_status
ha my application for the hsbc card been approved yet,application_status
please tell me if my application for the hsbc card ha gone through yet,application_status
how far ha my application for the hsbc card gone till now,application_status
whats the status on my application for the hsbc credit card,application_status
how far ha my application for the hsbc card proceeded till now,application_status
did the application for my visa card finish,application_status
ha my mastercard application gone through the process,application_status
ha my mastercard application gone through yet,application_status
ha my application for my visa card gone through,application_status
ha my mastercard application been processed,application_status
when will i know if my visa card application wa approved,application_status
whats the status of by delta flight,flight_status
whats the status of my virgin airline flight,flight_status
whats the status of my jetblue flight,flight_status
whats the status of my southwest flight,flight_status
whats the status of my american airline flight,flight_status
whats the news with my delta flight,flight_status
where is my delta flight,flight_status
what can you tell me about flight dl123,flight_status
where is flight dl123,flight_status
ha flight dl123 left,flight_status
is flight dl123 going to arrive on time,flight_status
is my spirit flight running on time,flight_status
whats the status for my delta flight this afternoon,flight_status
give me the status on my united airline flight,flight_status
whats up with my american airline flight will it be on time,flight_status
tell me what the status is for my aa flight,flight_status
i need for you to get me the status of my american airline flight,flight_status
tell me the status of my american airline flight,flight_status
i need to know the status of my american airline flight,flight_status
would you let me know the status of my american airline flight,flight_status
let me know the status of my american airline flight,flight_status
ha flight dl123 landed,flight_status
is my flight dl123 on time,flight_status
how far out is flight dl123,flight_status
is flight dl123 delayed,flight_status
what time is boarding scheduled,flight_status
when is boarding scheduled,flight_status
what time is boarding for my flight,flight_status
when is boarding scheduled for my flight,flight_status
when is my flight scheduled to board,flight_status
flip a coin for me and i call head,flip_coin
can you flip a coin for me,flip_coin
give me the result of a coin flip,flip_coin
please flip a coin for me,flip_coin
please flip a coin for me ai,flip_coin
flip a coin and tell me if it head,flip_coin
ai flip a coin for me,flip_coin
ai please flip a simulated coin,flip_coin
let flip a coin i choose head,flip_coin
can you please do a simulated coin flip for me ai,flip_coin
flip a coin i choose head,flip_coin
flip a coin im calling head,flip_coin
can you do a coin flip for me ai,flip_coin
i want you to flip a coin i choose head,flip_coin
just toss a coin,flip_coin
just flip a coin,flip_coin
throw a coin in the air,flip_coin
flip a coin into the air,flip_coin
head coin flip,flip_coin
flip coin head,flip_coin
flip a coin i call head,flip_coin
coin flip choose head,flip_coin
please flip a coin i choose head,flip_coin
can you flip a coin i call head,flip_coin
flip a coin im head,flip_coin
flip a coin head,flip_coin
flip u a coin i call head,flip_coin
flip a coin youre tail and im head,flip_coin
give me a coin toss result,flip_coin
flip the coin i choose head,flip_coin
bob is my name now,change_user_name
please start calling me bob,change_user_name
change my name to bob,change_user_name
call me bob from now on,change_user_name
dont call me bill anymore call me bob,change_user_name
i want you to call me bailey,change_user_name
dont call me anything besides bailey,change_user_name
refer to me a bailey,change_user_name
address me a bailey,change_user_name
please call me bailey,change_user_name
can you call me a different name,change_user_name
could you call me a different name,change_user_name
could you call me a different name please,change_user_name
could you call me by a different name please,change_user_name
can you call me a different name please,change_user_name
ai my name is deb please use my name when you talk to me,change_user_name
ai answer my question with my name first which is deb,change_user_name
ai refer to me a deb when answering me,change_user_name
ai address me a deb when speaking to me,change_user_name
ai call me deb,change_user_name
change my name please,change_user_name
please go ahead and change my name,change_user_name
please switch my name,change_user_name
change name for me,change_user_name
my name is going to be sherlock,change_user_name
start calling me jake from now on,change_user_name
call me shane,change_user_name
i want you to call me sheldon,change_user_name
i want to be called timothy,change_user_name
call me mike from now on,change_user_name
where are you coming from,where_are_you_from
from where do you come,where_are_you_from
what place are you from,where_are_you_from
where are you from originally,where_are_you_from
so where do you come from,where_are_you_from
so where do you come from originally,where_are_you_from
where do you call home,where_are_you_from
whats your home country,where_are_you_from
where did you live before you moved here,where_are_you_from
are you from here or somewhere else originally,where_are_you_from
tell me where youre from,where_are_you_from
what area did you come from,where_are_you_from
what is your origin,where_are_you_from
where wa it you were born,where_are_you_from
the place you were born is,where_are_you_from
what location were you born,where_are_you_from
where were you put together,where_are_you_from
where is your home planet,where_are_you_from
where is your home town,where_are_you_from
where were you thought of,where_are_you_from
where do you originate from,where_are_you_from
where have you come from,where_are_you_from
where were you before,where_are_you_from
where were you processed,where_are_you_from
a hidden government facility,where_are_you_from
what region were you born,where_are_you_from
from where did you originate,where_are_you_from
are you from around here,where_are_you_from
in what place are you originally from,where_are_you_from
where did you grow up,where_are_you_from
tack on a gallon of milk to the grocery list,shopping_list_update
add laundry detergent to the list,shopping_list_update
make sure to put egg on the grocery list,shopping_list_update
the list should also have 2 loaf of bread,shopping_list_update
include asparagus on the list,shopping_list_update
remove milk and add egg to my shopping list,shopping_list_update
put milk on my shopping list,shopping_list_update
id like to add pancake mix to my shopping list if it not already there,shopping_list_update
if soda isnt on my shopping list go ahead and add it for me,shopping_list_update
add milk to my shopping list,shopping_list_update
take toilet paper off my shopping list,shopping_list_update
i need to add flour to my list for shopping if i havent already,shopping_list_update
take toilet paper off my shopping list and add paper towel,shopping_list_update
i need hot dog added to my shopping list please,shopping_list_update
please put chip on my shopping list,shopping_list_update
is milk in my shopping list if not add it,shopping_list_update
can you add egg to my shopping list,shopping_list_update
add egg to my shopping list if it not already there,shopping_list_update
id like to get soda while im out add it to my shopping list,shopping_list_update
on my shopping list remove egg,shopping_list_update
i need egg add them to my shopping list,shopping_list_update
take soda from my shopping list and while youre at it add tea,shopping_list_update
milk should be added to my shopping list,shopping_list_update
i dont need egg anymore but i do need milk,shopping_list_update
take paper towel off of my shopping list,shopping_list_update
i need milk on my shopping list,shopping_list_update
i dont need toilet paper anymore take it off my shopping list,shopping_list_update
throw egg on my shopping list please,shopping_list_update
i need water on my shopping list and beer off of it,shopping_list_update
i need banana on the list too,shopping_list_update
can you tell me what you can help with,what_can_i_ask_you
what thing are you able to help me with,what_can_i_ask_you
i would like to know what you can help with,what_can_i_ask_you
what kind of thing can you help with,what_can_i_ask_you
i want to know what type of thing you can help me with,what_can_i_ask_you
please help me to know what type of thing you can help me with,what_can_i_ask_you
can i know what type of thing you can help me with,what_can_i_ask_you
i would like to know what type of thing you can help me with,what_can_i_ask_you
i will be glad to know what type of thing you can help me with,what_can_i_ask_you
what subject do you like,what_can_i_ask_you
tell me what subject you like,what_can_i_ask_you
please tell me what subject you like,what_can_i_ask_you
so what subject do you like,what_can_i_ask_you
what type of question can i ask you,what_can_i_ask_you
what kind of thing are you familiar with,what_can_i_ask_you
what subject are you experienced in,what_can_i_ask_you
what knowledge do you have on certain subject,what_can_i_ask_you
what kid of subject do you excel in,what_can_i_ask_you
what subject or area are you familiar with,what_can_i_ask_you
which subject are you the most experienced with,what_can_i_ask_you
tell me what you can do for me,what_can_i_ask_you
what sort of task can you do,what_can_i_ask_you
what can you do for me,what_can_i_ask_you
what can you do to make yourself useful,what_can_i_ask_you
what would you be able to do with me,what_can_i_ask_you
give me example of what to ask you,what_can_i_ask_you
tell me what type of question i can ask you,what_can_i_ask_you
what are you programmed to do for me,what_can_i_ask_you
what thing do you know how to do,what_can_i_ask_you
how can you help me,what_can_i_ask_you
undecided,maybe
im afraid i dont know how to answer that,maybe
might,maybe
it might go either way,maybe
both could be,maybe
either or,maybe
my answer would be maybe,maybe
either one might be,maybe
i cant say for certain either way,maybe
it could go either way,maybe
it definitely a maybe for that,maybe
i am not sure,maybe
maybe it is,maybe
i cant say,maybe
could be,maybe
i am unable to say,maybe
i am not able to say,maybe
i am really not sure,maybe
i do not know,maybe
not sure,maybe
not sure to be honest,maybe
i think maybe,maybe
um im not quite sure,maybe
um im not totally sure,maybe
um im not actually sure,maybe
im not actually sure,maybe
um im not sure,maybe
that might be the case,maybe
im not completely certain,maybe
unsure,maybe
help me change my oil,oil_change_how
what oil should i use for an oil change and how do i do it,oil_change_how
how do i do an oil change,oil_change_how
diy oil change,oil_change_how
how to do an oil change,oil_change_how
give me instruction for an oil change,oil_change_how
diy oil change and oil type,oil_change_how
oil type and do it yourself oil change information please,oil_change_how
i want to know how to change my oil,oil_change_how
can you tell me how to change my oil and what kind i use,oil_change_how
how to change oil and what oil type,oil_change_how
can you please instruct me on the proper way to change the oil in my car,oil_change_how
i need guidance on changing my oil,oil_change_how
i want a step by step explanation of how to change the oil in my car,oil_change_how
can you teach me how to change my oil,oil_change_how
can you teach me how to change my oil in my car,oil_change_how
help me figure out how to change my oil,oil_change_how
walk me through the step involved in changing my oil,oil_change_how
give me step by step instruction for changing my oil,oil_change_how
i want to change the oil in my car but i do not know how to do it can you help,oil_change_how
put together a list of instruction for me on how to change the oil in my car,oil_change_how
is it possible to change oil if so how and what do i use,oil_change_how
what oil do i use when changing oil and how do i do it,oil_change_how
how would i replace my oil and what sort of oil should i use,oil_change_how
can you change the oil with what and how,oil_change_how
how could i replace my oil and what form of oil ought to i take advantage of,oil_change_how
can you tell me how to change my oil please,oil_change_how
how do i change my oil,oil_change_how
please let me know how to change the oil,oil_change_how
i need to know how to change oil in a car,oil_change_how
id like to make a reservation at rooth chris can you do that,restaurant_reservation
make a reservation for chikfila at 3 o clock please,restaurant_reservation
reserve a table for 3 at 7 for olive garden,restaurant_reservation
will you reserve a table at olive garden for 3 people at 7,restaurant_reservation
at 7 i need a table for 3 at olive garden,restaurant_reservation
i need a table for 3 at olive garden for 7,restaurant_reservation
get a table for me at 7 for 3 people at olive garden,restaurant_reservation
reserve table for 5 at red robin under the name sara at 3,restaurant_reservation
reverse a table for 5 at burger king under the name sara at 6,restaurant_reservation
can you reserve a table for 6 at red robin under the name mavrick at 5 clock,restaurant_reservation
could you reserve table for 3 at carlos jr under the name adam at 4,restaurant_reservation
i want to reserve table for 5 at red robin under the name sara at 5,restaurant_reservation
i need a table for two at the havana at nine,restaurant_reservation
look for me a table at carls cabin for twelve at eight,restaurant_reservation
i need a table at gemma for nine at two,restaurant_reservation
book me a table for three at rainforest cafe at seven,restaurant_reservation
get me a table for five at itta bena at three,restaurant_reservation
5 people are going to be at tropicana by 8pm reserve the table under martin name please,restaurant_reservation
use martin name to reserve a table at tropicana for 5 people at 8pm,restaurant_reservation
reserve a table at tropicana for 5 people under the name martin for 8pm,restaurant_reservation
martin need a table for 5 people at tropicana at 8pm precisely,restaurant_reservation
the table should be reserved at 8pm at tropicana using martin name and it should be for 5 people,restaurant_reservation
are there any open reservation at outback tonight,restaurant_reservation
make a reservation for 2 tonight at 700 at outback steakhouse,restaurant_reservation
michael will reserve a table for two at 700pm for olive garden,restaurant_reservation
a table for two need to be reserved for 700pm at olive garden using the name michael,restaurant_reservation
please reserve a table for two at olive garden at 700pm for michael,restaurant_reservation
get reservation at olive garden for two at 700pm under michael,restaurant_reservation
reservation for two need to be made using michael name for 700pm at olive garden,restaurant_reservation
i want to eat at seven in the restaurant for two people,restaurant_reservation
what are my coffer at,balance
tell me the current balance of my bank account,balance
whats my current bank account total,balance
how much do i have in my bank account,balance
whats the balance in my bank account,balance
what do i have in my bank account right now,balance
is there enough in my well fargo account to buy some nike,balance
do i have enough in my well fargo account to get some nike,balance
do i have money in my well fargo account for nike,balance
i want some nike is there enough in my well fargo account,balance
check my well fargo account to see if i have enough for these nike,balance
would you tell me my bank balance,balance
can you tell me my bank balance,balance
will you let me know my bank balance,balance
will you tell me my bank balance,balance
how much money is there in my bank account,balance
how much money do i have in my various bank account,balance
how much cash do i have in my various bank account,balance
how much cash do i have in my bank account,balance
how much dough do i have in my bank account,balance
whats the combined total of the money inside my bank account,balance
whats my bank account look like,balance
how much moola is in my bank account,balance
what the numerical number inside my bank account,balance
how much doe my bank account have,balance
tell me the current account balance,balance
check my checking balance,balance
how much do i have left in my checking account,balance
whats my checking look like,balance
how much do i have in my saving account,balance
confirm my reservation for march 12 at 900 am,confirm_reservation
please confirm that i have a reservation for march 1st at 7,confirm_reservation
can you confirm that i have a reservation for february 21 at 6 oclock,confirm_reservation
